Message 1: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000000 sec
Message 2: Sent 1400 bytes, Received 386 bytes, RTT: 0.006015 sec
Message 3: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 4: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 5: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 6: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 7: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000000 sec
Message 8: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 9: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 10: Sent 1400 bytes, Received 1796 bytes, RTT: 0.000000 sec
Message 11: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000000 sec
Message 12: Sent 1400 bytes, Received 792 bytes, RTT: 0.000000 sec
Message 13: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 14: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 15: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 16: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 17: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000000 sec
Message 18: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000000 sec
Message 19: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000000 sec
Message 20: Sent 1400 bytes, Received 134 bytes, RTT: 0.000000 sec
Message 21: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000000 sec
Message 22: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000000 sec
Message 23: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000000 sec
Message 24: Sent 1400 bytes, Received 1074 bytes, RTT: 0.000000 sec
Message 25: Sent 1400 bytes, Received 1900 bytes, RTT: 0.000000 sec
Message 26: Sent 1400 bytes, Received 1806 bytes, RTT: 0.000000 sec
Message 27: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 28: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 29: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 30: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 31: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 32: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 33: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 34: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 35: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 36: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 37: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 38: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 39: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 40: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 41: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 42: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 43: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 44: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 45: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 46: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 47: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 48: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000000 sec
Message 49: Sent 1400 bytes, Received 1806 bytes, RTT: 0.000000 sec
Message 50: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 51: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000000 sec
Message 52: Sent 1400 bytes, Received 1796 bytes, RTT: 0.000000 sec
Message 53: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 54: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 55: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
Message 56: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000000 sec
Message 57: Sent 1400 bytes, Received 1796 bytes, RTT: 0.000000 sec
Message 58: Sent 1400 bytes, Received 1420 bytes, RTT: 0.000000 sec
